,kernel,dimension,n_iters,calibrated,statistic,sample
168,matern32,100,28,noise,3.827395520869425,33
169,matern32,100,28,spectrum,3.6680161229443535,33
170,matern32,100,28,none,-5.6317913155132535,34
171,matern32,100,28,weightedmean,-5.321540378437722,34
172,matern32,100,28,gpkern,2.8266235620322977,34
173,matern32,100,28,noise,3.616079545748484,34
174,matern32,100,28,spectrum,3.1498096868552548,34
175,matern32,100,28,none,-4.37674031920165,35
176,matern32,100,29,weightedmean,-6.151014020899579,35
177,matern32,100,30,gpkern,-12.021923897028442,35
178,matern32,100,30,noise,-12.021923897028442,35
179,matern32,100,30,spectrum,-12.021923897028442,35
180,matern32,100,29,none,-6.312278849546327,36
181,matern32,100,29,weightedmean,-6.030017062550139,36
182,matern32,100,29,gpkern,2.2744729300423434,36
183,matern32,100,29,noise,2.892437863152315,36
184,matern32,100,29,spectrum,2.605556630463435,36
185,matern32,100,27,none,-4.945461354435496,37
186,matern32,100,27,weightedmean,-4.643338055801792,37
187,matern32,100,28,gpkern,2.3840206674804745,37
188,matern32,100,28,noise,3.6077388764947496,37
189,matern32,100,28,spectrum,3.271933651639541,37
190,matern32,100,28,none,-7.195611202959555,38
191,matern32,100,28,weightedmean,-6.821978279588584,38
192,matern32,100,29,gpkern,3.730643779673259,38
193,matern32,100,29,noise,3.5512062261086856,38
194,matern32,100,29,spectrum,3.3948111248419344,38
195,matern32,100,28,none,-6.3721275512820394,39
196,matern32,100,28,weightedmean,-6.051561861055593,39
197,matern32,100,29,gpkern,3.6537227705462874,39
198,matern32,100,29,noise,3.73646567137521,39
199,matern32,100,29,spectrum,3.489827503198732,39
200,matern32,100,27,none,-5.818440701483939,40
201,matern32,100,27,weightedmean,-5.488673050147349,40
202,matern32,100,28,gpkern,-12.13688375456491,40
203,matern32,100,28,noise,-12.13688375456491,40
204,matern32,100,28,spectrum,-12.13688375456491,40
205,matern32,100,27,none,-5.882750430495981,41
206,matern32,100,27,weightedmean,-5.527705348566161,41
207,matern32,100,28,gpkern,-12.905649343450937,41
208,matern32,100,28,noise,-12.905649343450937,41
209,matern32,100,28,spectrum,-12.905649343450937,41
210,matern32,100,28,none,-6.13863875179109,42
211,matern32,100,28,weightedmean,-5.787447235531948,42
212,matern32,100,28,gpkern,3.628185318327758,42
213,matern32,100,28,noise,3.0710762433621053,42
214,matern32,100,28,spectrum,2.607488839173903,42
215,matern32,100,26,none,-5.8385549901149005,43
216,matern32,100,26,weightedmean,-5.458201393086965,43
217,matern32,100,27,gpkern,2.9917106325243266,43
218,matern32,100,27,noise,3.3766192403240516,43
219,matern32,100,27,spectrum,2.8953344069866356,43
220,matern32,100,27,none,-6.771459083914635,44
221,matern32,100,28,weightedmean,-5.561316214415418,44
222,matern32,100,28,gpkern,3.253667332110746,44
223,matern32,100,28,noise,3.443152365268415,44
224,matern32,100,28,spectrum,2.8518207240205773,44
225,matern32,100,26,none,-6.295802553493918,45
226,matern32,100,26,weightedmean,-5.98607018862555,45
227,matern32,100,26,gpkern,2.0187196006281325,45
228,matern32,100,26,noise,2.9088990585923686,45
229,matern32,100,26,spectrum,2.600729611757984,45
230,matern32,100,28,none,-5.739488358449434,46
231,matern32,100,28,weightedmean,-5.558187509347987,46
232,matern32,100,28,gpkern,2.2535911006863603,46
233,matern32,100,28,noise,2.5050238117209322,46
234,matern32,100,28,spectrum,2.0214400750448345,46
235,matern32,100,27,none,-6.403207596610091,47
236,matern32,100,27,weightedmean,-5.9626088540619495,47
237,matern32,100,28,gpkern,-11.664004629653938,47
238,matern32,100,28,noise,-11.664004629653938,47
239,matern32,100,28,spectrum,-11.664004629653938,47
240,matern32,100,27,none,-7.221314077930462,48
241,matern32,100,27,weightedmean,-7.123853774546967,48
242,matern32,100,28,gpkern,4.091923355679805,48
243,matern32,100,28,noise,4.433875714676834,48
244,matern32,100,28,spectrum,4.433875714612541,48
245,matern32,100,27,none,-6.0626711004497,49
246,matern32,100,27,weightedmean,-5.748813246431565,49
247,matern32,100,28,gpkern,3.2982486899371644,49
248,matern32,100,28,noise,3.599964080521954,49
249,matern32,100,28,spectrum,3.2556233029102404,49
250,matern32,100,28,none,-6.68092595885359,50
251,matern32,100,28,weightedmean,-6.410813709979727,50
252,matern32,100,28,gpkern,2.271953177542538,50
253,matern32,100,28,noise,2.291585199121403,50
254,matern32,100,28,spectrum,1.9736044090984008,50
255,matern32,100,29,none,-6.467409145391107,51
256,matern32,100,29,weightedmean,-6.131882291918094,51
257,matern32,100,29,gpkern,2.5196489085545144,51
258,matern32,100,29,noise,2.764657229575029,51
259,matern32,100,29,spectrum,2.483280886118551,51
260,matern32,100,27,none,-5.871133805388622,52
261,matern32,100,27,weightedmean,-5.552036509299443,52
262,matern32,100,28,gpkern,3.448916346308518,52
263,matern32,100,28,noise,3.7210418675902077,52
264,matern32,100,28,spectrum,3.488646839716789,52
265,matern32,100,29,none,-6.984636703013182,53
266,matern32,100,29,weightedmean,-6.53868758015952,53
267,matern32,100,29,gpkern,2.1673797067262788,53
268,matern32,100,29,noise,2.612945459645162,53
269,matern32,100,29,spectrum,2.261954103716192,53
270,matern32,100,28,none,-5.9501821025345265,54
271,matern32,100,28,weightedmean,-5.596273215701361,54
272,matern32,100,29,gpkern,-11.87304578443826,54
273,matern32,100,29,noise,-11.87304578443826,54
274,matern32,100,29,spectrum,-11.87304578443826,54
275,matern32,100,28,none,-5.627062188588825,55
276,matern32,100,28,weightedmean,-5.282657226199394,55
277,matern32,100,5,gpkern,-18.67524782100953,55
278,matern32,100,29,noise,3.6812630929940875,55
279,matern32,100,29,spectrum,3.42093211541391,55
280,matern32,100,29,none,-6.042160106170881,56
281,matern32,100,29,weightedmean,-5.685648985328573,56
282,matern32,100,29,gpkern,3.5275139143391385,56
283,matern32,100,29,noise,3.179340230387643,56
284,matern32,100,29,spectrum,2.996388157814584,56
285,matern32,100,29,none,-7.398060389470967,57
286,matern32,100,29,weightedmean,-7.105980679721151,57
287,matern32,100,29,gpkern,1.3207943183534847,57
288,matern32,100,29,noise,1.86968494700819,57
289,matern32,100,29,spectrum,1.5842402865876268,57
290,matern32,100,28,none,-5.954399254058195,58
291,matern32,100,28,weightedmean,-5.65169817358429,58
292,matern32,100,28,gpkern,3.2203748442924147,58
293,matern32,100,28,noise,3.2362165061641086,58
294,matern32,100,28,spectrum,2.8400837823406326,58
295,matern32,100,27,none,-6.171519913883348,59
296,matern32,100,28,weightedmean,-6.188062431233354,59
297,matern32,100,28,gpkern,2.1071026535243402,59
298,matern32,100,28,noise,2.4412537925359588,59
299,matern32,100,28,spectrum,2.255334575811684,59
300,matern32,100,28,none,-5.726178676427179,60
301,matern32,100,28,weightedmean,-5.412886718629976,60
302,matern32,100,29,gpkern,2.3839008369624235,60
303,matern32,100,29,noise,2.6930956187710304,60
304,matern32,100,29,spectrum,2.4055882445118426,60
305,matern32,100,28,none,-6.57205693516625,61
306,matern32,100,28,weightedmean,-6.332666996740327,61
307,matern32,100,28,gpkern,2.3619148395875027,61
308,matern32,100,28,noise,2.3110412322734213,61
309,matern32,100,28,spectrum,1.7930979378558947,61
310,matern32,100,27,none,-6.616698572458755,62
311,matern32,100,27,weightedmean,-6.249091883577557,62
312,matern32,100,28,gpkern,2.6918084058453964,62
313,matern32,100,28,noise,3.2600284381927085,62
314,matern32,100,28,spectrum,3.094160673417594,62
315,matern32,100,28,none,-5.846907972721407,63
316,matern32,100,28,weightedmean,-5.544107732838333,63
317,matern32,100,28,gpkern,3.067879749288364,63
318,matern32,100,28,noise,3.3188074827923493,63
319,matern32,100,28,spectrum,3.3188074826885465,63
320,matern32,100,27,none,-6.1436394635898175,64
321,matern32,100,27,weightedmean,-5.8230788693443,64
322,matern32,100,28,gpkern,3.449408755630558,64
323,matern32,100,28,noise,3.6016573731773693,64
324,matern32,100,28,spectrum,3.601657373172651,64
325,matern32,100,29,none,-6.186015818810806,65
326,matern32,100,30,weightedmean,-5.877324834839244,65
327,matern32,100,30,gpkern,2.8013643245449904,65
328,matern32,100,30,noise,3.090268057387752,65
329,matern32,100,30,spectrum,3.0902680574182253,65
330,matern32,100,28,none,-6.007689001825956,66
331,matern32,100,28,weightedmean,-5.641889683662934,66
332,matern32,100,29,gpkern,3.97017165623411,66
333,matern32,100,29,noise,3.970355955164559,66
334,matern32,100,29,spectrum,3.7578917020065483,66
335,matern32,100,29,none,-6.257839117202597,67
336,matern32,100,29,weightedmean,-5.925201193503591,67
337,matern32,100,30,gpkern,-12.206099225622872,67
338,matern32,100,30,noise,-12.206099225622872,67
339,matern32,100,30,spectrum,-12.206099225622872,67
340,matern32,100,27,none,-5.365490361652422,68
341,matern32,100,28,weightedmean,-6.132601901029266,68
342,matern32,100,28,gpkern,1.9939763753192512,68
343,matern32,100,28,noise,2.5636194340528453,68
344,matern32,100,28,spectrum,2.248854868907258,68
345,matern32,100,29,none,-7.649591829192942,69
346,matern32,100,29,weightedmean,-6.922724164739447,69
347,matern32,100,30,gpkern,-10.22257536525264,69
348,matern32,100,30,noise,-10.22257536525264,69
349,matern32,100,30,spectrum,-10.22257536525264,69
350,matern32,100,28,none,-6.0135916086620025,70
351,matern32,100,29,weightedmean,-6.421379508424321,70
352,matern32,100,29,gpkern,2.4255193810687263,70
353,matern32,100,29,noise,2.574539029504603,70
354,matern32,100,29,spectrum,2.336470910611644,70
355,matern32,100,28,none,-4.516325640435899,71
356,matern32,100,29,weightedmean,-6.931352468694003,71
357,matern32,100,29,gpkern,2.5659778092772187,71
358,matern32,100,29,noise,3.139990325091882,71
359,matern32,100,29,spectrum,3.1399903251462735,71
360,matern32,100,28,none,-5.732893484608034,72
361,matern32,100,29,weightedmean,-6.4902253009118045,72
362,matern32,100,29,gpkern,2.1002237676256517,72
363,matern32,100,29,noise,2.4017533689144646,72
364,matern32,100,29,spectrum,2.11584765338534,72
365,matern32,100,28,none,-5.739398622660655,73
366,matern32,100,28,weightedmean,-5.370440823245236,73
367,matern32,100,29,gpkern,2.6691824833479987,73
368,matern32,100,29,noise,3.095011615562277,73
369,matern32,100,29,spectrum,2.9309304211687937,73
370,matern32,100,27,none,-5.7065514567346405,74
371,matern32,100,28,weightedmean,-5.777046337769982,74
372,matern32,100,28,gpkern,2.60674040589866,74
373,matern32,100,28,noise,2.9801527410728004,74
374,matern32,100,28,spectrum,2.748443262610818,74
375,matern32,100,28,none,-5.134908993148017,75
376,matern32,100,28,weightedmean,-4.7909978328422005,75
377,matern32,100,29,gpkern,1.3535965894986814,75
378,matern32,100,29,noise,2.951624188587703,75
379,matern32,100,29,spectrum,2.6101979818818446,75
380,matern32,100,28,none,-6.391153156449787,76
381,matern32,100,28,weightedmean,-6.0411148280667994,76
382,matern32,100,28,gpkern,3.1725556023635826,76
383,matern32,100,28,noise,2.8308587676931567,76
384,matern32,100,28,spectrum,2.361565312632527,76
385,matern32,100,28,none,-8.047986453615218,77
386,matern32,100,28,weightedmean,-6.7625993854395805,77
387,matern32,100,28,gpkern,2.412445444464791,77
388,matern32,100,28,noise,2.6829584041399954,77
389,matern32,100,28,spectrum,2.4715017688964336,77
390,matern32,100,26,none,-5.834891812528955,78
391,matern32,100,27,weightedmean,-4.92255699271419,78
392,matern32,100,27,gpkern,3.636171216044271,78
393,matern32,100,27,noise,3.8945175486677615,78
394,matern32,100,27,spectrum,3.7014959700795025,78
395,matern32,100,28,none,-5.568692253514563,79
396,matern32,100,28,weightedmean,-5.223134722710682,79
397,matern32,100,28,gpkern,3.1711832801556703,79
398,matern32,100,28,noise,3.6593945503978516,79
399,matern32,100,28,spectrum,3.198613278437605,79
400,matern32,100,25,none,-3.659567243248855,80
401,matern32,100,25,weightedmean,-3.3281675346051482,80
402,matern32,100,25,gpkern,5.383040805793595,80
403,matern32,100,25,noise,5.550850880909131,80
404,matern32,100,25,spectrum,5.25043845841715,80
405,matern32,100,28,none,-6.244890508535667,81
406,matern32,100,28,weightedmean,-5.885520102917219,81
407,matern32,100,28,gpkern,2.6244729081187077,81
408,matern32,100,28,noise,3.028308530977571,81
409,matern32,100,28,spectrum,2.7238987728951254,81
410,matern32,100,28,none,-6.204085299326454,82
411,matern32,100,28,weightedmean,-5.9194113027590145,82
412,matern32,100,29,gpkern,-11.629434237846851,82
413,matern32,100,29,noise,-11.629434237846851,82
414,matern32,100,29,spectrum,-11.629434237846851,82
415,matern32,100,27,none,-6.099961299103389,83
416,matern32,100,28,weightedmean,-5.386764605010597,83
417,matern32,100,28,gpkern,3.2004857114230068,83
418,matern32,100,28,noise,3.324958633526515,83
419,matern32,100,28,spectrum,3.0196747631465395,83
420,matern32,100,28,none,-6.4667599775414075,84
421,matern32,100,28,weightedmean,-6.203142932424647,84
422,matern32,100,29,gpkern,-11.280235359390367,84
423,matern32,100,29,noise,-11.280235359390367,84
424,matern32,100,29,spectrum,-11.280235359390367,84
425,matern32,100,26,none,-5.890298177033195,85
426,matern32,100,26,weightedmean,-5.558446388035444,85
427,matern32,100,27,gpkern,2.1780309265384483,85
428,matern32,100,27,noise,2.951028535154448,85
429,matern32,100,27,spectrum,2.734023287373185,85
430,matern32,100,28,none,-5.192641653578824,86
431,matern32,100,28,weightedmean,-4.85804765787083,86
432,matern32,100,29,gpkern,-12.94813169472747,86
433,matern32,100,29,noise,-12.94813169472747,86
434,matern32,100,29,spectrum,-12.94813169472747,86
435,matern32,100,28,none,-5.897902114587935,87
436,matern32,100,28,weightedmean,-5.583136483608118,87
437,matern32,100,28,gpkern,2.935760376989485,87
438,matern32,100,28,noise,3.3199653607364974,87
439,matern32,100,28,spectrum,2.880123820282427,87
440,matern32,100,29,none,-5.746887926691982,88
441,matern32,100,29,weightedmean,-5.399537234324602,88
442,matern32,100,30,gpkern,2.235760527573759,88
443,matern32,100,30,noise,3.088383840184705,88
444,matern32,100,30,spectrum,2.936240776693345,88
445,matern32,100,27,none,-5.20812687253529,89
446,matern32,100,28,weightedmean,-5.278358247856293,89
447,matern32,100,28,gpkern,3.0359578649486836,89
448,matern32,100,28,noise,3.5573186364189904,89
449,matern32,100,28,spectrum,3.399047980884145,89
450,matern32,100,28,none,-6.369214825443799,90
451,matern32,100,28,weightedmean,-6.066197493808958,90
452,matern32,100,29,gpkern,-12.246109028342602,90
453,matern32,100,29,noise,-12.246109028342602,90
454,matern32,100,29,spectrum,-12.246109028342602,90
455,matern32,100,28,none,-5.66128513931824,91
456,matern32,100,28,weightedmean,-5.332335217863738,91
457,matern32,100,29,gpkern,2.4713742769811473,91
458,matern32,100,29,noise,3.111530066994686,91
459,matern32,100,29,spectrum,3.11153006543438,91
460,matern32,100,28,none,-5.808524589144616,92
461,matern32,100,28,weightedmean,-5.51805564299436,92
462,matern32,100,28,gpkern,1.6460787268459658,92
463,matern32,100,28,noise,3.1930588921735987,92
464,matern32,100,28,spectrum,3.02398565219681,92
465,matern32,100,26,none,-6.678023538127416,93
466,matern32,100,26,weightedmean,-6.374381912172234,93
467,matern32,100,27,gpkern,-11.950628945396076,93
468,matern32,100,27,noise,-11.950628945396076,93
469,matern32,100,27,spectrum,-11.950628945396076,93
470,matern32,100,27,none,-6.286313522288933,94
471,matern32,100,27,weightedmean,-5.963032743615227,94
472,matern32,100,28,gpkern,-11.02098651446807,94
473,matern32,100,28,noise,-11.02098651446807,94
474,matern32,100,28,spectrum,-11.02098651446807,94
475,matern32,100,28,none,-6.5006606522743535,95
476,matern32,100,28,weightedmean,-6.119612825416528,95
477,matern32,100,29,gpkern,3.6553348682956845,95
478,matern32,100,29,noise,3.628735136130223,95
479,matern32,100,29,spectrum,3.4620020631424775,95
480,matern32,100,27,none,-5.808311254606756,96
481,matern32,100,28,weightedmean,-4.912179475940786,96
482,matern32,100,28,gpkern,4.056871386698781,96
483,matern32,100,28,noise,3.958827268723648,96
484,matern32,100,28,spectrum,3.4470562447614803,96
485,matern32,100,28,none,-6.5699615116233785,97
486,matern32,100,28,weightedmean,-6.165793000066956,97
487,matern32,100,29,gpkern,4.508099754480574,97
488,matern32,100,29,noise,5.175657588279605,97
489,matern32,100,29,spectrum,4.892972345356684,97
490,matern32,100,28,none,-5.534709145561582,98
491,matern32,100,28,weightedmean,-5.217288681048304,98
492,matern32,100,28,gpkern,3.448501080854388,98
493,matern32,100,28,noise,3.689138706431698,98
494,matern32,100,28,spectrum,3.2663059939761583,98
495,matern32,100,28,none,-6.390270299481275,99
496,matern32,100,28,weightedmean,-6.0536437019379346,99
497,matern32,100,29,gpkern,2.7518168527489335,99
498,matern32,100,29,noise,3.350535236386303,99
499,matern32,100,29,spectrum,3.121128229859146,99
500,matern32,100,27,none,-6.227470985834309,100
501,matern32,100,27,weightedmean,-5.867085799932507,100
502,matern32,100,28,gpkern,-11.800971887196273,100
503,matern32,100,28,noise,-11.800971887196273,100
504,matern32,100,28,spectrum,-11.800971887196273,100
505,matern32,100,27,none,-6.7473664748905975,101
506,matern32,100,27,weightedmean,-6.382155318759793,101
507,matern32,100,27,gpkern,2.4303910660075174,101
508,matern32,100,27,noise,2.149073898105697,101
509,matern32,100,27,spectrum,1.9594638250002325,101
510,matern32,100,27,none,-6.069842378230466,102
511,matern32,100,27,weightedmean,-5.772526643413351,102
512,matern32,100,27,gpkern,3.074477410145158,102
513,matern32,100,27,noise,3.0907033933674293,102
514,matern32,100,27,spectrum,2.7895129758288557,102
515,matern32,100,29,none,-9.372708526111673,103
516,matern32,100,29,weightedmean,-12.745409279536837,103
517,matern32,100,29,gpkern,-12.745409279536837,103
518,matern32,100,29,noise,-12.745409279536837,103
519,matern32,100,29,spectrum,-12.745409279536837,103
520,matern32,100,28,none,-6.617780855391087,104
521,matern32,100,28,weightedmean,-6.280179891210056,104
522,matern32,100,28,gpkern,2.625811329871725,104
523,matern32,100,28,noise,2.5879246472500728,104
524,matern32,100,28,spectrum,2.2880533795873377,104
525,matern32,100,27,none,-5.7421717383960456,105
